Model,Accuracy,Macro F1,Weighted F1,Inference Time (s),Avg Time/Sample (ms),Parameters
DeepCNN,0.9285190615835777,0.9285623031549533,0.9285623031549535,6.1844072341918945,2.2670114494838325,6680638
ResNet50,0.6796187683284457,0.6790748255194207,0.6790748255194208,25.56438684463501,9.371109547153596,26372286
